post_id,text,true_label,pred_label
17909010_gab,just to be clear it cool for the bitch to get the dick but not if she a dumb bitch and dirty in which case she gets the cliff,offensive,offensive
1792851_gab,kiwiposse <user> the wobh post suggests otherwise it about the hate preacher that radicalises the muslim population once they tip over the <number> of the population threshold the cancer starts to bite no matter how reasonable we will eventually have the muslim ghettos that foment radical islam,offensive,offensive
1178759551174270976_twitter,in need of creativity and hook nose left our most creative player out of the squad,normal,normal
17913782_gab,hes a mohammaden just the same as every muslim in the world obeying the qur an,normal,offensive
11760301_gab,cuh cuh cuh communism nah pass this nigger worked too hard for handouts i prefer the uncertainty the risk the gasp entropy of capitalistic competition,hatespeech,hatespeech
1179090602656501762_twitter,<user> a redneck woman,offensive,offensive
1164351453013712896_twitter,<user> you are genuinely retarded,offensive,offensive
1160195525238513664_twitter,waddup twitter i just want u to know that i am queer as heck and that also u should drink lots of water bc it hot today and you deserve it,normal,normal
9329272_gab,russell also writes about how jewish and italian mobsters founded las vegas jewish copyright thieves founded hollywood and gay mafiosos helped spark the gay rights movement he thinks all of these things were good for society of course,normal,offensive
1171166211348094976_twitter,<user> omg lol i fucking hate this meme 😭 😭 😭 😭 😂 😂,normal,normal
1177726979438596096_twitter,smoking fiya in a hotel eating shrimp wit a towel under the door and a thick red hoe,offensive,offensive
24192836_gab,oh and apparently youre a red nigger skunk lol im not surprised since devs are retarded with social skills and politics what languages,hatespeech,hatespeech
27767940_gab,a vile piece of shit that kidnapped beat and tortured a pregnant woman and got out on 1 0 k bail thanks to his kike lawyers from the music industry,hatespeech,hatespeech
1178773239566405633_twitter,<user> should not vr called zayn a sand nigger 🤷 🏻 ‍ ♀️ 🤷 🏻 ‍ ♀️,normal,hatespeech
22532037_gab,subhuman bald cuban spic,hatespeech,hatespeech
1178719721203621889_twitter,<user> swedish men are the biggest cowards on earh after german men imagine knowing your cowardice caused literally every woman and girl to be raped by savages with an iq of <number> 🤮 how they get out of bed in the morning is amazing,normal,normal
1248433562207936513_twitter,i jus want tha dead presidents 💸 a bitch can wait,hatespeech,offensive
1145037651977916417_twitter,me laughing at dead children and refugees is disgusting and scum pakis but what about those guys who beat up that scammer outside o k,offensive,hatespeech
1167982348769660928_twitter,everyone in your life is a fucking lie i promise,normal,normal
1254517888599429125_twitter,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant,normal,normal
1178838232403976193_twitter,<user> <user> i think he was with underaged boys we all know he gay and no one cares so it has to be something illegal or maybe his lover is an illegal alien what else could it be,normal,normal
1178994409112772611_twitter,the democrat marxist muslim nihilist party of the kk has wounded our 1 st amendment right to free speech and now nyc threatens up to <money> g in fines for using terms like illegal alien which has finally killed freedom of speech illegal alien are the official u.s. code words,normal,normal
1178963188441739264_twitter,men have had these conversations with countless women but they never learn because they have not listened to the labor of those women they have not changed after being asked again and again,normal,normal
26739361_gab,from twitter i will allow a white person to call jr smith a nigger tonight it probably not a great thing i care so much about something jr smith can screw up in a few seconds,offensive,hatespeech
1247123173579071488_twitter,<user> bhakts may not agree for 3 6 crore muslim population,offensive,normal
2547072_gab,<user> this is an uninformed post regarding the lesbian comment there is absolutely no evidence that michael moore likes women,offensive,normal
21573075_gab,and all this butthurt faggotry just makes me want to join twp to spite you queers,hatespeech,hatespeech
26563492_gab,bs poland people did not say or want anything polish yid want to separate slavic people and us people should stay away,normal,offensive
3486061_gab,if an uninformed person were to watch american tevision black people would appear to represent half the population while latinos asians and native americans would represent <number> this is a lie,offensive,normal
1178808202730721280_twitter,my supervisor is a fucking coon i have a white kid telling other kids that they are acting like niggers and he doing nothing about it,hatespeech,hatespeech
1179048325254799361_twitter,<user> <user> <user> <user> bhai they were <percent> when they got independence now they are <percent> systematically raped and converted we love indian muslims and kashmiris but not illegal immigrants sorry,normal,normal
21377933_gab,did you see this fyi women like men that are confident in being men real women do not marry or date beta males do they i salute realmen who are alphamales all over the world raising young boys to become respectablemen that what i do every day realtalk,normal,normal
1179084900814725120_twitter,<user> fuck the alphabet community lmao bunch of faggots,offensive,offensive
1178130764405366784_twitter,<user> nigga fucking called me a faggot when i said these things to him,normal,normal
1272645324645990406_twitter,<user> belong to the ghetto,normal,offensive
1179020162995019776_twitter,<user> dude do not kill yourself trying to hard rest is the best medicine,normal,normal
1180870622861127681_twitter,my shoe plug going back to his home country and i need those sbb <number>,normal,normal
13883384_gab,disney also made the shopkeeper gay in frozen look for when the shopkeeper says hi to his family who are in a sauna or something since eisner took over neo disney has been defiling children entertainment by pushing jewish cult marxist themes in movies and shows boycott,offensive,offensive
1144020357101363203_twitter,you can not go anywhere to avoid cars anymore niggas literally every fuckin where,normal,normal
17865084_gab,to busy swindling whites and renting out ghetto apartments to shitskins eh schlomo,offensive,hatespeech
1178696407173287936_twitter,if you came to the us as a refugee give us a call at <phone> how does the reduction in the number of refugee resettlement make you feel,normal,normal
17476080_gab,it an infinite regress of jews jewing romans jewing anglos jewing jews philosophy and logic cannot help us here,hatespeech,hatespeech
1142856882333323268_twitter,<user> <user> is that what she d say if her six year old daughter were raped by a pedophile i do not fucking thick so,offensive,offensive
1170440965888335874_twitter,oomf a <number> yearl old closet gay and obsessed with me someone help,normal,normal
10527563_gab,how about just a regular prosecutor who gets the job done and nails the bitch once and for all,offensive,offensive
1170428282313068550_twitter,bitches be so fine and got the nerve to like niggas 😒,offensive,offensive
8064440_gab,fucking ass eaters with whole cities full of coons and you think britan has a problem detroit is a shithole fix your shit up yankee,hatespeech,hatespeech
14550110_gab,is not a mudslime touching a boy dick frigging it with lubricant to get it a little hard then mutilating it with a knife sort of faggy or am i being a bitch mudrape,hatespeech,hatespeech
1258666596333170689_twitter,happy ve day <number> years since ww2 and the surrender of nazi germany to the allied forces 🇬 🇧,normal,normal
18756903_gab,this nazi should have died <number> yrs ago why is he still breathing,normal,offensive
1178821611396489216_twitter,<user> i can deal with a room full of white ppl if there is atleast hip hop playing,normal,normal
1167604341303402496_twitter,<user> <user> omg what a f ’ ing retard,offensive,offensive
1186965986752126976_twitter,<user> <user> impossible trudeau bringing in over <number> million immigrants liberal voters by next election,normal,normal
1179095638614642689_twitter,<user> hopefully global warming will just kill all humans and then the earth can move on from this relationship,normal,normal
6353337_gab,congratulations londonistan in <number> short years you managed to get back the caliphate the evil celts stole good job queen of farts and parliament will you be killing the evil whites yourselves or will you have a superior shitskin do it,offensive,hatespeech
1275531752379949056_twitter,being a person is a fucking nightmare i did not ask for this 😤 😤,normal,normal
1178690977403416581_twitter,<user> is a creative external processor of emotions queer black tweeter and meme connoisseur from england matthias works to create a safe space for everyone to feel that they are not alone and that their experiences are valid he also enjoys getting rather silly,normal,normal
14083835_gab,let the snow flakes cry bitch and scream it judgement day and time normalize islamaphobia as a healthy condition piss on political correctness and then deport every single last sand nigger savage,hatespeech,hatespeech
12152030_gab,that why they call it germoney those fuckin muslim faggots,hatespeech,hatespeech
1179008240668966912_twitter,<user> no intentionally left out he have no plans to give citizenship to illegal muslim immigrants since hindu sikh jain buddhist christian will be raped and killed in islamic countries they need refuge here,normal,normal
13063661_gab,if there one thing i can not stand more then a nigger it a fuckin jew,hatespeech,hatespeech
23296281_gab,no they really do not know to write paki and moslem,hatespeech,hatespeech
2994138_gab,all the desperation whining by democrats has backfired no one likes sore losers unless you are a freeloader illegal alien or ghetto thug maga speakfreely,offensive,hatespeech
1205888262117703680_twitter,<user> imagine being a muslim and also putting pronouns in your fucking bio,offensive,normal
17683055_gab,het recht maakt onderscheid tussen islamkritiek toegestaan en kritiek op moslims al snel groepsbelediging e d een onmisbaar maar gekunsteld onderscheid immers wie de islam een kwaadaardige achterlijke religie noemt laat zich tevens laatdunkend uit over de aanhangers van die religie,normal,normal
25744519_gab,we all know its mysterious why are those yid q not expose the names who doing it they should know the all are not the delivering news is not he or she anonymous or its anonymous from us so we do not know that q is shlomo,hatespeech,normal
1098480747571277824_twitter,<user> she looks retarded,offensive,offensive
18573444_gab,abraham himself was evil why are they not his seed just because the jews reject something does not make it not theirs look at you you are a white man rejecting traditional european faith does that suddenly make odin not a white god,normal,offensive
9344571_gab,there really is an international conspiracy to turn all white countries into non white countries they are increasingly open about it the neo nazi conspiracy theorists were not paranoid they were right all along,hatespeech,normal
21346962_gab,this person is obviously retarded she thinks the furry thing is serious and has an obsession we all have gook sex slaves we do not want people this retarded,offensive,hatespeech
18460967_gab,yeah they are not making fun tho they are acting like he legitimately meant cp and it making them look retarded and making people who are not joking about it look retarded and people who actually argue with them look retarded lol twitter is just a mess lately,offensive,offensive
1178435022812057601_twitter,<user> speaking of i am planning on drawing a poc angel and white devil artwork soon 😌,normal,normal
11780203_gab,use violence against swedish women as the backdrop highlight islamic violence from those invaders double whammy no,hatespeech,normal
25953044_gab,to stop islam is not the only goal we should have but we should also be creating advantages for those who do not try and control by violence and intimidation,offensive,offensive
1163196987635728384_twitter,i accidentally k worded choerry roach,normal,normal
1167753134216830976_twitter,<user> after jews r elininated na league players are my next target,hatespeech,offensive
18537030_gab,what <user> ‍ did was big he followed by a lot of israel first cuckservatives many heard accurate criticism of jews for the first time in their lives because of nehlen some unfollowed but some will begin to question,offensive,normal
26251002_gab,i have been looking through historical photos and have noticed that some women do not look very happy when wearing red jfk wife for example,normal,normal
1179034899841314818_twitter,my immigrant parents did not raise me to spend money on some flimsy lil trash can liners 🙄,normal,normal
14054951_gab,can someone answer my question are tax payers still paying for the so called obama phones for low income and ghetto rats,hatespeech,offensive
18848765_gab,i knew we d get the tareeqs and antwans to finally figure out those beaners are overing on all the free shit lmao,hatespeech,hatespeech
1179000566309150720_twitter,my iq is that barack obama birth certificate is unattractive both inside and i will make mexico pay for women,normal,normal
2984501_gab,<user> conversano seen by some as controlled opposition advocates frontal clash risks civil war whereas the french white population has no weapons contrary to the heavily armed ghettos good idea,offensive,normal
1146143832574255104_twitter,<user> idk but i know the holocaust is some yellow head with a simple smiley on it,normal,normal
1178454017523027969_twitter,did you all know illegal immigrants and la will not get their car impounded if caught without proper documentation meanwhile my black ass first time going to jail was because the cop white girl claimed my liscence was suspended despite me having court documents showing it wasn t,normal,normal
16596098_gab,fyi the relay nigger arrived shekels delivered,hatespeech,hatespeech
1179053376350367744_twitter,<user> <user> <user> no we will take care of our beloved indian muslims but we do not want any illegal muslim immigrants from pakistan and bangladesh india is only for indian muslims all hindus sikhs jains and christians,offensive,normal
1178502719868325888_twitter,<user> get well soon ching chong 😌,hatespeech,hatespeech
13756324_gab,ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer,hatespeech,hatespeech
21284677_gab,history from the future world war <number> muslim pedofags are defeated muslim countries are lifeless wastelands moohammad is remembered in history correctly as a pedophile all the towelheaded pedofags are dead and you were all worried ww3 was going to be a bad thing haha,hatespeech,hatespeech
27997778_gab,why does british state tv produce content in arabic lol <user> i guess the uk wants out to have more muslims for themselfs we need a nationalist socialist eu which only makes sure that every nation is jew and nigger free and take cares of their traditions and its values,hatespeech,hatespeech
1179079222033309696_twitter,this rent shit ghetto,normal,offensive
19156920_gab,a cunardly group sex mobile glory hole device its no3 on the takeaway menu cunardly made ceramic sinks a cunardly sink chink,normal,hatespeech
15240595_gab,you do not even know your dad and all you did was recycle my joke about your mom i get that you are used to stealing but try not to do it out in the open like a crack nigger,hatespeech,hatespeech
15984772_gab,remember men it not sexual harassment when women are the perps joybehar crotchgrabber,hatespeech,offensive
21751669_gab,charles is angry that one of his nigger bros got caught raping again,normal,hatespeech
12760010_gab,there are plenty not all are as public but many ppl of all races gay ppl etc are becoming red pilled these days,normal,normal
17318303_gab,many white bitches heavily infected with a beast blood dna in whites by itself against beasteality we have problem not with women but with birth whites work for minimum wage and not want to produce so their kids would work hard to support leaching animals,offensive,offensive
1179103712964427777_twitter,all of ya can suck my dick if it was your friend who got raped and your friends who got assaulted you would not be sitting there like what about his side yo fuck yall,normal,normal
27151267_gab,he was voted in by christians too khan was put up for mayor <number> he got a london accent <number> he light skinned pr job and white liberals said yes give the paki a chance well done liberals hope your next to be robbed knifed shot,offensive,hatespeech
1179101128274960384_twitter,<user> <user> if that happens you can not blame the white man for that the judge is a black woman but can not wait to see,normal,normal
13240558_gab,how long until it is revealed hollywood stars and directors raped and molested children regularly and it was known and an open secret within the industry,normal,normal
1159545300731781120_twitter,or like the right amount of horny but not for lesbians,normal,normal
21927667_gab,i am pro homosexual ethnostate,offensive,normal
26756324_gab,had fun watching a mudslime goatfucker getting rolled this morning trying to steal alcohol from the supermarket,hatespeech,hatespeech
23344825_gab,sorry middle east and country like syria problem is from islam kill the nonmuslim that includes people who live there that why it is not going to stop it western will not be there in those areas if there was no oil or care or even bring them to western,offensive,offensive
1179036622345494529_twitter,<user> am quoting you indian specially hindus live work earn there fact they have entered that muslim dominated country legally working there legally amit shah is talking about illegal immigrants shame on you for spreading misinformation which can cause hatred sick,normal,normal
1159278048069464065_twitter,<percent> cotton thigh highs to avoid contact with any gay chemicals,normal,normal
13682278_gab,i think there is a difference between white white european jews arabs may be white well some are but they are definitely not european if fully semitic,normal,offensive
1097938872837832705_twitter,<user> she is just child so sad to hear people so islamphobic she could do no harm to nobody she was just brainwashed,normal,normal
3343907_gab,<user> one way i am jealous of ghetto nignogs i want to beat matthew yglesias too,offensive,hatespeech
1178682183109812224_twitter,also tuca and bertie,normal,normal
1197583994612678658_twitter,me to me bitch you stressing me tf out,normal,normal
1170408170587447296_twitter,silk sheets and diamonds all white,normal,normal
1178951876349267968_twitter,<user> i fucking hate you 😂,normal,normal
16098381_gab,there no such thing as hate speech you inbred goat fucking mudslime piece of nomadic sand nigger trash,hatespeech,hatespeech
1179065134767058945_twitter,<user> henry ford more like henry hated the jews,normal,normal
5238165_gab,dmtbka mudshark problems nigger word kills <number> year old,hatespeech,hatespeech
1111372289029763073_twitter,<user> proud to be pro life and i am no nazi haha you spouting bs,normal,normal
18971389_gab,we want immigrants who will love and respect our country democrats look pissed about that too,normal,offensive
15575558_gab,i can figure out how to lower the security costs of the lyon christmas markets arm the citizenry and actively encourage volunteer militias to secure the marketplace and the township beyond or lock every mudslime up on their council estates for the duration of the holiday season your choice france,hatespeech,hatespeech
1178981778683416576_twitter,some of them are still young and none of you think how will these things might affect their mental health and how they will lose confidence reading those articles and what will their parents feel about it i fucking hate you all,normal,normal
26510414_gab,i think we are past the negotiation phase it time to issue an ultimatum all sand niggers and kikes out of america or get executed an invader,hatespeech,hatespeech
25465320_gab,reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,offensive,hatespeech
1188607020783538176_twitter,bitches love bath and body works but hate to put they body in a bath and go to work i can not with these bitches,offensive,offensive
1179047552412307458_twitter,<user> this aquib guy is a twitter version of love jihadi baba working cleverly under the name of bjp and bharat mata ki jai slogans while sending dms to hindu girls hitting on them asking for personal info and no full on horny casanova even msgd me if i am single or not,normal,normal
23013042_gab,expect the media to run with sob stories later of how a shit coloured moslem was given a dirty look or how a white man refused to give up his seat on the bus for some rag headed moslem woman,hatespeech,hatespeech
1179032794628014080_twitter,<user> and that still does not give godzilla the right to kill all them btw,normal,normal
8012192_gab,when niggers spics erupting rags are forced into white neighborhoods by the fucking feds itz wondrous diversity when moneyed whites move into ghetto shitholes remake them into liveable pleasant places itz racist gentrification,hatespeech,hatespeech
1178892515669245952_twitter,<user> <user> <user> <user> there was a huge genocide committed by kashmiri muslims in which they killed raped plundered thousands of kashmiri pandits because of which the issue of hindu muslim started there kashmiri hindus had to leave their property there and migrate to inner portions of india,normal,normal
8606091_gab,can i say nigger on gab ai,hatespeech,hatespeech
1257112399255007233_twitter,fuck fortnite all my homies hate fortnite yo i fucking hate this piece of shit game they they brought back the light sabers fuck <user>,normal,normal
25557750_gab,no no i will not i do not do that i told you i am a white woman sorry i really am not interested in you you are angry and strange perhaps you should lay off the soy lattes and dial up your meds,normal,normal
18761956_gab,islam continues to spread because of arabs,offensive,offensive
1178847201176346624_twitter,there are dykes on a date in this pizza place,normal,hatespeech
27313296_gab,🤣 🤣 😂 😂 🤣 🤣 😂 😂 🤣 🤣 you spelled my name wrong and my name is literally in front of your face not only are your nations sucking in sand niggers but its already affecting whites iq 🤣 🤣 🤣 😂 😂 😂 🤣 🤣 😂 😂,hatespeech,hatespeech
9752822_gab,how did the jews came to be god chosen because jews kept stealing all property from the arabs then wrote that the lord told them so also known as communism by religious self entitlement,offensive,offensive
5858492_gab,fox news ‏ sessions more than <number> people who came here as refugees are under an fbi investigation today for potential terrorism related activities,normal,normal
1179102825978007552_twitter,<user> <user> <user> so u r ok with hindus getting raped killed converted in these countries where sud such hindus go there is not a single hindu country left in the world muslims dont have any problems there,normal,normal
1168833654036021250_twitter,twas a moment when i realized that my friend is actually my gay friend,normal,normal
1178913944489955328_twitter,<user> <user> it a parody they wrote it down then sent it to you the only ones who voted were the breitbart staff though the staff are all white supremacy nazis not all of them voted for you suck it up buttercup,normal,normal
1164587915319681024_twitter,asians really study black ppl and our culture and come on here acting black and making black music and dont even kno wtf goin on omg,offensive,normal
1178258189067833345_twitter,niggas is faggots 😂 😭 slime,offensive,offensive
5872236_gab,mainstream media in slav nations accurately reports the mass epidemic of white women sexually attacked by afro muslim immigrants would you ever see a national magazine cover like this in the usa canada the uk australia germany sweden belgium france of course not,hatespeech,normal
16393544_gab,i have never said this before <user> but i really do hope you get raped by a pack of niggers,hatespeech,hatespeech
4342896_gab,<user> no doubt some muslim sand nigger,hatespeech,hatespeech
1142551247595147265_twitter,<user> i hate you fat whore,offensive,offensive
1178825113115848706_twitter,<user> <user> <user> do not disrespect yakima we the hillbilly version of tacoma,normal,normal
16636622_gab,i agree with you it all boils down to girl woman upbringing but point is that only a white man would do something like this not beaner or nigger or whichever other species of coloreds,hatespeech,hatespeech
1179101291399847936_twitter,she say bre you fine i am like bitch break ya back for a stack hoe 🥶,normal,offensive
1172073418365140993_twitter,jontron is a fucking scumbag,normal,offensive
22939105_gab,give the little nigglet a mudcookie,hatespeech,hatespeech
9788820_gab,i hope these nigger poachers get tortured to death slowly,hatespeech,hatespeech
17524246_gab,i am happy once the last kike hangs from a tree,hatespeech,hatespeech
10188209_gab,i will make this as politically correct as i possibly can kill all the sand niggers until there not a single one left and you will solve half your problem overnight kill all socialists to solve the other half,hatespeech,hatespeech
1176323489801916418_twitter,i ’ m gay so if my man flirting or cheating with a bitch i think is ugly he ’ bugging lmao,offensive,offensive
7092414_gab,joshua barnum one of antifa finest vacationing in dubai rich kid showing his servitude to his muzzie backers,hatespeech,hatespeech
1228919034348998656_twitter,<user> <user> needs there anymore don ’ t retarded there i fixed your ridiculous tweet for you,offensive,offensive
1178884222209216512_twitter,bro what they are lesbians 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 listen i am tired of seeing old english era media and it hella dykes in em whose fantasy is this,offensive,offensive
15549494_gab,it hilarious i doubt it would have effected how efficiently the restaurant operated he sure seemed to want to get those fries going besides liability issues as a ghetto bk manager why not pick your battles,offensive,offensive
